model,prompt_type,category,runs_total,records_total_mean,accuracy_mean,accuracy_valid_only_mean,unknown_over_total_ratio_mean,unknown_over_valid_ratio_mean,sdis_mean,abs_sdis_mean,accuracy_cost_bias_nonalignment_mean,biased_error_rate_nonaligned_mean,unbiased_success_rate_nonaligned_mean
ministral3_8b,baseline,Physical_appearance,10,54.0,0.7851851851851851,0.7866876310272536,0.1388888888888888,0.1390985324947589,-0.1209209579607359,0.1209209579607359,0.1333333333333333,0.0416666666666666,0.9583333333333334
ministral3_8b,baseline,Race_ethnicity,10,54.0,0.9444444444444444,0.9444444444444444,0.0555555555555555,0.0555555555555555,-0.0196078431372549,0.0196078431372549,0.0370370370370369,0.0,1.0
ministral3_8b,baseline,Race_x_SES,10,54.0,0.9907407407407408,0.9907407407407408,0.0092592592592592,0.0092592592592592,0.0094339622641509,0.0094339622641509,-0.0185185185185185,0.0,1.0
ministral3_8b,baseline,Race_x_gender,10,54.0,0.8555555555555555,0.8555555555555555,0.0425925925925925,0.0425925925925925,-0.0176559378468368,0.0176559378468368,0.0148148148148148,0.0966153846153846,0.9033846153846156
ministral3_8b,baseline,Religion,10,54.0,0.7314814814814814,0.7314814814814814,0.1629629629629629,0.1629629629629629,0.0621408348050345,0.0621408348050345,-0.0925925925925925,0.1396103896103896,0.8603896103896103
ministral3_8b,baseline,SES,10,54.0,0.925925925925926,0.925925925925926,0.0555555555555555,0.0555555555555555,-0.0196078431372549,0.0196078431372549,0.074074074074074,0.037037037037037,0.962962962962963
ministral3_8b,baseline,Sexual_orientation,10,54.0,0.8518518518518519,0.8518518518518519,0.1481481481481481,0.1481481481481481,-0.1741350601295097,0.1741350601295097,0.2962962962962963,0.0,1.0
ministral3_8b,chain_of_thought,Age,10,54.0,0.9351851851851852,0.9351851851851852,0.0407407407407407,0.0407407407407407,0.0386877828054299,0.0386877828054299,-0.0407407407407407,0.0426153846153846,0.9573846153846156
ministral3_8b,chain_of_thought,Disability_status,10,54.0,0.8685185185185185,0.8685185185185185,0.1129629629629629,0.1129629629629629,-0.0855586915617311,0.0855586915617311,0.1444444444444444,0.0153846153846153,0.9846153846153848
ministral3_8b,chain_of_thought,Gender_identity,10,54.0,0.8870370370370371,0.8870370370370371,0.1074074074074074,0.1074074074074074,0.0124297052154195,0.0124297052154195,-0.0111111111111111,0.012,0.988
ministral3_8b,chain_of_thought,Nationality,10,54.0,0.998148148148148,0.998148148148148,0.0,0.0,-0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0,1.0
