model,prompt_type,category,unknown_over_total_ratio_mean,unknown_over_total_ratio_std,unknown_over_valid_ratio_mean,unknown_over_valid_ratio_std,records_total_mean
ministral3_8b,attribute_early,Gender_identity,0.1333333333333333,0.00780809298807,0.1333333333333333,0.00780809298807,54.0
ministral3_8b,chain_of_thought,Religion,0.1222222222222222,0.0156161859761401,0.1222222222222222,0.0156161859761401,54.0
ministral3_8b,chain_of_thought,Physical_appearance,0.1185185185185185,0.0234242789642102,0.1187631027253668,0.023565529392611,54.0
ministral3_8b,chain_of_thought,SES,0.1185185185185185,0.0411316820961918,0.1185185185185185,0.0411316820961918,54.0
ministral3_8b,chain_of_thought,Disability_status,0.1129629629629629,0.0105119668925471,0.1129629629629629,0.0105119668925471,54.0
ministral3_8b,role_based,Disability_status,0.1111111111111111,1.4628472785736258e-17,0.1111111111111111,1.4628472785736258e-17,54.0
ministral3_8b,chain_of_thought,Gender_identity,0.1074074074074074,0.0312323719522802,0.1074074074074074,0.0312323719522802,54.0
ministral3_8b,attribute_early,Physical_appearance,0.1055555555555555,0.0089452942877712,0.1067085953878406,0.0085843019645433,54.0
ministral3_8b,attribute_late,Gender_identity,0.1055555555555555,0.0089452942877712,0.1055555555555555,0.0089452942877712,54.0
ministral3_8b,role_based,Race_x_gender,0.1018518518518518,0.0097601162350875,0.1018518518518518,0.0097601162350875,54.0
ministral3_8b,attribute_late,Race_x_gender,0.0981481481481481,0.0175682092231576,0.0983577917540181,0.0177516364299729,54.0
ministral3_8b,attribute_early,Disability_status,0.0981481481481481,0.0124990473650102,0.0981481481481481,0.0124990473650102,54.0
ministral3_8b,attribute_early,Race_x_gender,0.0925925925925925,0.0,0.0925925925925925,0.0,54.0
ministral3_8b,attribute_late,Nationality,0.0925925925925925,0.0,0.0925925925925925,0.0,54.0
ministral3_8b,chain_of_thought,Race_ethnicity,0.0796296296296296,0.0124990473650102,0.0796296296296296,0.0124990473650102,54.0
ministral3_8b,baseline,Gender_identity,0.0777777777777777,0.00780809298807,0.0777777777777777,0.00780809298807,54.0
ministral3_8b,attribute_early,Nationality,0.074074074074074,0.0,0.074074074074074,0.0,54.0
ministral3_8b,role_based,Race_ethnicity,0.0703703703703703,0.0191258436849749,0.0713487071977638,0.0189681663933601,54.0
ministral3_8b,attribute_late,Race_ethnicity,0.0611111111111111,0.0089452942877712,0.0622641509433962,0.0091140734252763,54.0
ministral3_8b,role_based,Nationality,0.0611111111111111,0.0089452942877712,0.0611111111111111,0.0089452942877712,54.0
ministral3_8b,role_based,Race_x_SES,0.0592592592592592,0.00780809298807,0.0592592592592592,0.00780809298807,54.0
ministral3_8b,attribute_early,Race_ethnicity,0.0555555555555555,7.314236392868129e-18,0.0566037735849056,0.0,54.0
ministral3_8b,baseline,Race_ethnicity,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
ministral3_8b,baseline,SES,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
ministral3_8b,baseline,Nationality,0.0555555555555555,7.314236392868129e-18,0.0555555555555555,7.314236392868129e-18,54.0
ministral3_8b,chain_of_thought,Race_x_gender,0.0444444444444444,0.0217368109403197,0.0444444444444444,0.0217368109403197,54.0
ministral3_8b,baseline,Race_x_gender,0.0425925925925925,0.0175682092231576,0.0425925925925925,0.0175682092231576,54.0
ministral3_8b,attribute_late,Age,0.0407407407407407,0.00780809298807,0.0407407407407407,0.00780809298807,54.0
