example_id,category,modified_token_count,modified_sentence_count,modified_average_sentence_length,modified_flesch_reading_ease,modified_gunning_fog_index,modified_yules_k,modified_noun_count,modified_verb_count,modified_adjective_count
8645,Race_x_SES,132,5,26.4,59.234408,8.835841,129.270545,42,18,10
827,Gender_identity,85,5,17.0,68.77,8.036364,115.838717,26,14,3
3285,SES,116,7,16.571429,69.178061,9.681633,122.436486,33,18,8
571,Religion,96,6,16.0,62.445556,9.566843,136.449412,35,13,5
69,Sexual_orientation,103,6,17.166667,66.481279,9.100332,100.409565,26,15,15
123,Age,119,8,14.875,78.516392,8.017084,99.958351,27,18,4
883,Religion,104,5,20.8,56.533178,9.91938,166.46849,39,13,4
3113,Gender_identity,95,6,15.833333,69.993846,6.738462,96.138439,30,15,2
1429,Disability_status,97,7,13.857143,66.22,8.071429,173.754001,29,14,7
255,Disability_status,93,7,13.285714,58.306582,10.083906,109.375,29,16,5
515,Sexual_orientation,127,7,18.142857,73.461696,8.678571,179.779281,29,16,13
825,Religion,107,6,17.833333,60.851348,9.580096,170.37037,29,15,4
2705,Race_x_SES,112,6,18.666667,49.71625,11.166667,173.892042,48,16,1
841,Religion,108,6,18.0,59.900787,10.029535,158.024691,33,16,8
5107,Race_x_SES,114,8,14.25,56.750296,11.486842,167.100694,40,14,9
3033,Gender_identity,91,5,18.2,43.191378,11.865946,85.333333,28,10,11
1635,Nationality,154,9,17.111111,66.330152,10.412121,116.952551,40,22,12
393,Disability_status,123,7,17.571429,62.946602,9.38086,236.686391,37,17,5
323,Physical_appearance,139,8,17.375,41.723882,15.875439,144.641683,32,24,12
457,Age,121,5,24.2,70.059091,7.755844,140.801959,30,14,12
2069,Age,129,8,16.125,68.286023,9.5,129.859589,33,16,13
1547,Physical_appearance,118,7,16.857143,63.937514,8.449285,175.322839,28,18,7
7787,Race_x_SES,137,8,17.125,66.879789,6.665263,92.249527,41,20,7
779,Disability_status,121,8,15.125,69.517476,8.604161,141.496599,32,15,5
815,Age,116,5,23.2,74.812857,7.516883,190.123457,26,16,14
2207,Nationality,131,8,16.375,60.197759,10.766502,178.245306,36,19,12
3751,Race_x_gender,117,5,23.4,59.627419,10.045469,132.378472,44,16,2
3899,Race_x_gender,105,5,21.0,59.377468,8.564919,104.875283,41,15,3
489,Sexual_orientation,121,7,17.285714,56.908892,10.20566,146.737706,28,20,11
2337,SES,105,6,17.5,64.290909,10.028571,229.768969,30,12,6
2657,Gender_identity,107,5,21.4,70.144706,8.682353,129.799892,32,16,7
2157,Race_ethnicity,86,5,17.2,73.810423,6.874044,115.740741,29,17,2
131,Nationality,141,7,20.142857,67.923463,9.05082,118.9768,35,20,13
341,Religion,87,5,17.4,57.181507,9.102935,182.615047,24,13,12
313,Physical_appearance,141,9,15.666667,45.263816,15.198068,136.455042,32,27,11
2021,Nationality,136,10,13.6,54.439087,8.973258,128.521997,32,22,12
5207,Gender_identity,99,6,16.5,68.442359,9.388755,127.33564,30,17,3
599,Sexual_orientation,123,7,17.571429,65.605981,9.10494,162.894376,31,24,11
1495,Disability_status,120,8,15.0,63.703383,11.035567,184.0,32,19,13
161,Disability_status,84,5,16.8,64.278028,7.437425,115.740741,29,11,3
583,Sexual_orientation,114,6,19.0,69.425455,8.485426,138.0,30,21,11
